업종명,업소명,소재지(도로명),소재지(지번),소재지전화
유흥주점영업,씽씽노래주점,"부산광역시 부산진구 새싹로29번길 13, 지하1층 (부전동)","부산광역시 부산진구 부전동 400-8 ,11(지하1층) ", 051- 802-8799
유흥주점영업,더블유(W)클럽,"부산광역시 부산진구 부전로20번길 47, 지하1층 (부전동)",부산광역시 부산진구 부전동 524-46 지하1층 ,051 -863 -1757
유흥주점영업,헤라노래주점,"부산광역시 부산진구 서면로 17 (부전동,(지하1층))",부산광역시 부산진구 부전동 522-12 (지하1층) , 051- 803-2297
유흥주점영업,야시노래주점,"부산광역시 부산진구 서면로 19, 지하1층 (부전동)",부산광역시 부산진구 부전동 522-10 지하1층 , 
유흥주점영업,카라,"부산광역시 부산진구 서면로 26, 지하1층 (부전동)",부산광역시 부산진구 부전동 233-6 지하1층 , 051- 819-2442
유흥주점영업,에니콜노래주점,부산광역시 부산진구 새싹로8번길 29 (부전동),부산광역시 부산진구 부전동 263-25 , 051- 808-3800
유흥주점영업,드라마노래텔,부산광역시 부산진구 서면문화로5번길 25 (부전동),부산광역시 부산진구 부전동 485-2 , 051- 809-1246
유흥주점영업,마돈나포장센타,"부산광역시 부산진구 부전로152번길 31 (부전동,(지하1층))",부산광역시 부산진구 부전동 347-27 (지하1층) , 051- 807-8886
유흥주점영업,긴자,"부산광역시 부산진구 부전로20번길 47 (부전동, 외 45.60)",부산광역시 부산진구 부전동 524-46 외45.60 , 051- 819-0015
유흥주점영업,아쿠아,부산광역시 부산진구 가야대로784번길 56-7 (부전동),부산광역시 부산진구 부전동 520-7 , 051- 818-6949
유흥주점영업,헤라,부산광역시 부산진구 부전로 125 (부전동),부산광역시 부산진구 부전동 405-18 , 051- 819-3100
유흥주점영업,파트너가라오케노래주점,"부산광역시 부산진구 가야대로784번길 57-3, 지하1층 (부전동)",부산광역시 부산진구 부전동 517-31 , 
유흥주점영업,그립(grip),"부산광역시 부산진구 중앙대로680번가길 33-7, 지하1층 (부전동)",부산광역시 부산진구 부전동 187-7 (지하1층) , 
유흥주점영업,이브,부산광역시 부산진구 서면문화로 17 (부전동),부산광역시 부산진구 부전동 474-129 , 051- 804-0086
유흥주점영업,발렌타인,부산광역시 부산진구 가야대로784번길 49 (부전동),부산광역시 부산진구 부전동 517-27 ,
